# area,perimeter,comp,mean_x,mean_y,var_x,var_y,assym_x,assym_y,conj_x,conj_y,conj_xy,conj_xy2,target
2.410600585097229520e-01,7.441860465116278966e-01,2.671813964843750000e-02,3.326727967527663976e-01,5.007856316537070418e-01,7.729931013488744451e-02,6.420078399216952447e-02,7.864759207978319067e-01,1.025909177975270758e-01,9.530268418046830003e-01,9.718732153055397172e-01,9.547401484865790655e-01,9.340376927470017687e-01,1.000000000000000000e+01
2.971861471861471649e-01,7.793594306049822507e-01,2.862742645065782451e-02,3.845853709291436884e-01,4.861968648612858268e-01,7.505549747114931280e-02,5.065567753704600107e-02,6.447712215337885189e-01,-7.308717546662415153e-04,9.546613255644573748e-01,9.644938091769846844e-01,9.395484340859432404e-01,9.406409322651129168e-01,1.000000000000000000e+01
3.410105591382609491e-01,7.916666666666666297e-01,3.332409972299169021e-02,3.777812749679200222e-01,4.840939014992931555e-01,7.993049328290802169e-02,6.311824671812371612e-02,4.054108958691032272e-01,-6.761683708495686701e-03,9.536575228595178810e-01,9.648794679966750110e-01,9.401496259351620477e-01,9.461762261014131647e-01,1.000000000000000000e+01
3.586606808829030935e-01,9.816513761467889898e-01,2.326015857765355646e-02,4.817686501911667696e-01,4.617711484301658675e-01,5.300189254833997249e-02,7.718042847323813849e-02,5.236144119701112432e-02,2.939606510280301510e-01,9.584854490455825271e-01,9.732971732554500655e-01,9.424220298320642453e-01,9.529571294461249842e-01,1.000000000000000000e+01
3.910554561717352606e-01,7.592592592592593004e-01,4.063801308744794533e-02,3.923647311644928859e-01,4.497396016609191416e-01,7.521047137691216911e-02,7.299374164175409518e-02,3.922275001465680977e-01,1.610061236323613865e-01,9.544830741079597392e-01,9.672918572735590415e-01,9.444190301921316921e-01,9.473924977127172742e-01,1.000000000000000000e+01
3.467444008312168258e-01,8.030303030303029832e-01,3.341380384478462306e-02,4.056210377510391374e-01,5.204983856861831182e-01,5.706115566333567340e-02,7.639388125355559001e-02,5.006035255962599795e-01,-1.644450512095269878e-01,9.600466122856666784e-01,9.677043449309139511e-01,9.360745796570667521e-01,9.555518561678042477e-01,1.000000000000000000e+01
3.334400000000000142e-01,7.711111111111110805e-01,3.461535267297295021e-02,4.285724568138195578e-01,5.032072936660269002e-01,6.341353313772607470e-02,6.049959426542048796e-02,3.233602300397619422e-01,-5.992682390838266482e-02,9.452975047984645274e-01,9.697696737044145809e-01,9.318618042226487486e-01,9.378598848368522312e-01,1.000000000000000000e+01
3.829166666666666829e-01,8.022388059701492935e-01,3.479177934018388291e-02,3.601507850147676049e-01,4.810362120909299488e-01,5.868915805044856715e-02,7.359216937603813014e-02,5.904681970831627824e-01,-4.313126600101256647e-02,9.544535986320534793e-01,9.776154204881082332e-01,9.488574537540804821e-01,9.494792476294108274e-01,1.000000000000000000e+01
2.609599208312716745e-01,8.679775280898875955e-01,2.071354510321425299e-02,4.123605608852383142e-01,4.814432656324870163e-01,7.902629666763834326e-02,7.029027818301743225e-02,4.106434750427971903e-01,-1.178619684904345238e-02,9.518392112248768022e-01,9.690304639110099982e-01,9.509543673366198657e-01,9.462773353558336931e-01,1.000000000000000000e+01
4.033557046979865945e-01,7.384937238493723966e-01,4.340777953438355180e-02,3.328998993447135346e-01,4.892194341769434685e-01,6.635563427868404474e-02,6.346291885974991720e-02,6.562006540986483616e-01,3.592158923297225637e-02,9.572933998890738039e-01,9.755962285080421736e-01,9.526714734701423604e-01,9.495285635052690409e-01,1.000000000000000000e+01
